LearningRate,Timestep,KendallTau,MAP,a
0.01,7,0.781493867,0.60737927,1.5
0.01,8,0.782373201,0.579922727,1.5
0.01,9,0.792211287,0.594924086,1.5
0.01,7,0.754773988,0.524908383,1.1
0.01,8,0.752219731,0.50259267,1.1
0.01,9,0.764652493,0.527083195,1.1
0.01,7,0.767534536,0.554822013,1.2
0.01,8,0.762157468,0.505997241,1.2
0.01,9,0.777005868,0.519297138,1.2
0.01,7,0.780324493,0.572604103,1.3
0.01,8,0.784128385,0.546365007,1.3
0.01,9,0.781803616,0.537635206,1.3
0.01,7,0.776875301,0.576786861,1.4
0.01,8,0.790070414,0.62470221,1.4
0.01,9,0.780143316,0.562148699,1.4
0.01,7,0.746971585,0.510293625,1
0.01,8,0.749222369,0.525866133,1
0.01,9,0.756969366,0.505365618,1
0.01,7,0.785266069,0.623390532,1.6
0.01,8,0.784950317,0.630626643,1.6
0.01,9,0.79343265,0.588095964,1.6
0.01,7,0.777793807,0.62307774,1.7
0.01,8,0.778481679,0.608789643,1.7
0.01,9,0.802142425,0.715743593,1.7
0.01,7,0.774551211,0.638502151,1.8
0.01,8,0.770318264,0.65496461,1.8
0.01,9,0.796475995,0.616836254,1.8
0.01,7,0.767829845,0.651813364,1.9
0.01,8,0.769290893,0.682245401,1.9
0.01,9,0.786525858,0.665053893,1.9
0.005,7,0.805143443,0.891362283,1.5
0.005,8,0.802384125,0.899448452,1.5
0.005,9,0.794015319,0.896054519,1.5
0.005,7,0.784731252,0.9101964,1.1
0.005,8,0.77906905,0.867928507,1.1
0.005,9,0.773650448,0.882169624,1.1
0.005,7,0.795191489,0.89429399,1.2
0.005,8,0.789521679,0.869922489,1.2
0.005,9,0.780602728,0.870739804,1.2
0.005,7,0.804503144,0.93114229,1.3
0.005,8,0.796835185,0.884555271,1.3
0.005,9,0.788829377,0.852356635,1.3
0.005,7,0.803770637,0.897716328,1.4
0.005,8,0.805190591,0.904382958,1.4
0.005,9,0.792334543,0.882435236,1.4
0.005,7,0.778564073,0.878502442,1
0.005,8,0.767323282,0.861945854,1
0.005,9,0.769172585,0.833802559,1
0.005,7,0.805814234,0.908349325,1.6
0.005,8,0.796889141,0.884582467,1.6
0.005,9,0.807450321,0.917193323,1.6
0.005,7,0.799335634,0.905057578,1.7
0.005,8,0.791764368,0.898654949,1.7
0.005,9,0.799531627,0.893064325,1.7
0.005,7,0.782068441,0.895523019,1.8
0.005,8,0.789442411,0.900781706,1.8
0.005,9,0.795333074,0.893147899,1.8
0.005,7,0.780307782,0.911067922,1.9
0.005,8,0.779831065,0.889435482,1.9
0.005,9,0.792128413,0.9082388,1.9
0.001,7,0.797666298,0.702406987,1.5
0.001,8,0.793772754,0.731754951,1.5
0.001,9,0.805836776,0.796869892,1.5
0.001,7,0.792993943,0.765438733,1.1
0.001,8,0.792991935,0.783259972,1.1
0.001,9,0.79514245,0.771222983,1.1
0.001,7,0.79419773,0.797003866,1.2
0.001,8,0.795436418,0.823527046,1.2
0.001,9,0.796054661,0.755980833,1.2
0.001,7,0.801754295,0.818385604,1.3
0.001,8,0.796716344,0.782980423,1.3
0.001,9,0.804404828,0.703140766,1.3
0.001,7,0.803450073,0.766745704,1.4
0.001,8,0.809103188,0.807544869,1.4
0.001,9,0.802295942,0.788935646,1.4
0.001,7,0.791499201,0.782882521,1
0.001,8,0.795727088,0.770395759,1
0.001,9,0.788323458,0.739419202,1
0.001,7,0.792582947,0.699030403,1.6
0.001,8,0.78972219,0.726509334,1.6
0.001,9,0.801623631,0.783590049,1.6
0.001,7,0.778699397,0.764393762,1.7
0.001,8,0.781388695,0.750766496,1.7
0.001,9,0.792177671,0.727509379,1.7
0.001,7,0.761207726,0.693624131,1.8
0.001,8,0.769193852,0.73209813,1.8
0.001,9,0.794806434,0.732914184,1.8
0.001,7,0.766162915,0.690712295,1.9
0.001,8,0.761365195,0.715239314,1.9
0.001,9,0.786324166,0.735448648,1.9
0.0005,7,0.795310156,0.8709965,1.5
0.0005,8,0.79120397,0.846933753,1.5
0.0005,9,0.795449581,0.843844573,1.5
0.0005,7,0.761602129,0.805646462,1.1
0.0005,8,0.754989681,0.727294722,1.1
0.0005,9,0.766744452,0.785013845,1.1
0.0005,7,0.767887161,0.873028283,1.2
0.0005,8,0.772865335,0.829187185,1.2
0.0005,9,0.765879132,0.755555475,1.2
0.0005,7,0.780853426,0.895639215,1.3
0.0005,8,0.769638977,0.861875217,1.3
0.0005,9,0.779327231,0.698602965,1.3
0.0005,7,0.78950553,0.827107584,1.4
0.0005,8,0.789558485,0.811229498,1.4
0.0005,9,0.784849488,0.753321026,1.4
0.0005,7,0.745232476,0.727345026,1
0.0005,8,0.754744062,0.718621975,1
0.0005,9,0.759434663,0.766885757,1
0.0005,7,0.800444783,0.839954699,1.6
0.0005,8,0.793131977,0.865517237,1.6
0.0005,9,0.796626124,0.861364109,1.6
0.0005,7,0.793341108,0.892497256,1.7
0.0005,8,0.787257578,0.879752319,1.7
0.0005,9,0.79459016,0.72446283,1.7
0.0005,7,0.786428114,0.84610549,1.8
0.0005,8,0.790146311,0.774414291,1.8
0.0005,9,0.799277273,0.815898841,1.8
0.0005,7,0.777174273,0.850943767,1.9
0.0005,8,0.775232881,0.851275661,1.9
0.0005,9,0.791388875,0.808773594,1.9
0.0001,7,0.756650192,0.451691036,1.5
0.0001,8,0.770269746,0.528983899,1.5
0.0001,9,0.751637358,0.513406274,1.5
0.0001,7,0.710006391,0.397543741,1.1
0.0001,8,0.74322425,0.411942995,1.1
0.0001,9,0.713791076,0.417301081,1.1
0.0001,7,0.730196448,0.418524758,1.2
0.0001,8,0.753375035,0.432407284,1.2
0.0001,9,0.727109235,0.441829251,1.2
0.0001,7,0.748340072,0.429306905,1.3
0.0001,8,0.757754919,0.446427136,1.3
0.0001,9,0.735357396,0.426469894,1.3
0.0001,7,0.753185607,0.443682859,1.4
0.0001,8,0.767051909,0.487809425,1.4
0.0001,9,0.736028552,0.458989234,1.4
0.0001,7,0.702403898,0.332812518,1
0.0001,8,0.731505415,0.414114462,1
0.0001,9,0.716303175,0.401514599,1
0.0001,7,0.753642411,0.470300563,1.6
0.0001,8,0.775333438,0.554978269,1.6
0.0001,9,0.770596509,0.525049661,1.6
0.0001,7,0.743205069,0.410455841,1.7
0.0001,8,0.760116281,0.500669901,1.7
0.0001,9,0.770644774,0.52299304,1.7
0.0001,7,0.742302453,0.414024351,1.8
0.0001,8,0.754028001,0.551994622,1.8
0.0001,9,0.774457955,0.500265537,1.8
0.0001,7,0.750807921,0.570625287,1.9
0.0001,8,0.744453383,0.554122403,1.9
0.0001,9,0.758288982,0.602020656,1.9
